Code,Name (Units),Prerequisites
CHEM 1, The Scope of Chemistry and Biochemistry (1),none.
CHEM 4, Basic Chemistry (4),none.
CHEM 6A, General Chemistry I (4),none.
CHEM 6AH, Honors General Chemistry I (4),none.
CHEM 6B, General Chemistry II (4),CHEM 6A or 6AH and MATH 10A or 20A. Recommended: concurrent or prior enrollment in MATH 10B or 20B.
CHEM 6BH, Honors General Chemistry II (4),CHEM 6AH and MATH 20A. Recommended: concurrent or prior enrollment in MATH 20B. 
CHEM 6C, General Chemistry III (4),CHEM 6B or 6BH. Recommended: completion of MATH 10B or 20B.
CHEM 6CH, Honors General Chemistry III (4),CHEM 6BH and MATH 20B. 
CHEM 7L, General Chemistry Laboratory (4),CHEM 6B or CHEM 6BH. 
CHEM 7LM, General Chemistry Laboratory for Majors (4),"CHEM 6B or CHEM 6BH. Restricted to the following major codes: CH25, CH32, CH31, CH33, CH34, CH35, CH36, CH37. "
CHEM 11, The Periodic Table (4),none.
CHEM 12, Molecules and Reactions (4),CHEM 11 or good knowledge of high school chemistry. 
CHEM 13, Chemistry of Life (4),none.
CHEM 40A, Organic Chemistry I (4),CHEM 6B or CHEM 6BH. 
CHEM 40AH, Honors Organic Chemistry I (4),B+ or higher grade in CHEM 6C or CHEM 6CH.
CHEM 40B, Organic Chemistry II (4),CHEM 40A or 140A (a grade of C or higher in CHEM 140A or 40A is strongly recommended). 
CHEM 40BH, Honors Organic Chemistry II (4),"grade of B or higher in CHEM 40A, 40AH, 140A, or 140AH."
CHEM 40C, Organic Chemistry III (4),CHEM 40B or 140B (a grade of C or higher in CHEM 40B or 140B is strongly recommended). 
CHEM 40CH, Honors Organic Chemistry (4) ,"grade of B+ or higher in CHEM 40B or 140B, or B– or higher in CHEM 40BH or 140BH."
CHEM 43A, Organic Chemistry Laboratory (4),"CHEM 7L or 7LM and 40A, 40AH, 140A, or 140AH. "
CHEM 43AM, Organic Chemistry Laboratory for Majors (4),"CHEM 7L or 7LM and CHEM 40A, 40AH, 140A, or 140AH. "
CHEM 87, First-year Student Seminar in Chemistry and Biochemistry (1),none.
CHEM 96, Introduction to Teaching Science (2),none.
CHEM 99, Independent Study (2 or 4),"lower-division standing, 3.0 minimum UC San Diego GPA, consent of instructor and department, completion of thirty units of undergraduate study at UC San Diego, completed and approved Special Studies form. "
CHEM 99H, Independent Study (1),student must be of first-year standing and a Regent’s Scholar; approved Special Studies form.
CHEM 100A, Analytical Chemistry Laboratory (4),"CHEM 6C or 6CH and CHEM 6BL, 7L, or 7LM. Recommended: PHYS 2CL or 2BL."
CHEM 100B, Instrumental Chemistry Laboratory (5),CHEM 100A and PHYS 2C or 2D and PHYS 2BL or 2CL or 2DL.
CHEM 105A, Physical Chemistry Laboratory (4),"CHEM 6CL or 100A, PHYS 2BL or 2CL or 2DL, and CHEM 126 or 126A or 126B or 127 or 130 or 131 or 133."
CHEM 105B, Physical Chemistry Laboratory (4),CHEM 105A. 
CHEM 108, Protein Biochemistry Laboratory (6),"CHEM 43A, 143A, 43AM or 143AM, and CHEM 114A."
CHEM 109, Recombinant DNA Laboratory (6),"CHEM 43A, 143A, 43AM, or 143AM and CHEM 114A."
CHEM 111, Origins of Life and the Universe (4),CHEM 6C or 6CH.
CHEM 113, Biophysical Chemistry of Macromolecules (4),"CHEM 40C, 40CH, 140C, or 140CH."
CHEM 114A, Biochemical Structure and Function (4),CHEM 40A or 140A. 
CHEM 114B, Biochemical Energetics and Metabolism (4),"CHEM 40B, 140B, 40BH, or 140BH."
CHEM 114C, Biosynthesis of Macromolecules (4),CHEM 114A or BIBC 100.
CHEM 114D, Molecular and Cellular Biochemistry (4),"CHEM 114A, 114B, and 114C."
CHEM 115," Genome, Epigenome, and Transcriptome Editing (4)",CHEM 114A.
CHEM 116, Chemical Biology (4),"CHEM 40C, 40CH, 140C, or 140CH, and CHEM 114A. (May not be offered every year.)"
CHEM 118, Pharmacology and Toxicology (4),CHEM 114A.
