Code,Name,Prerequisites
COGS 1, Introduction to Cognitive Science (4),none.
COGS 2, Cognitive Neuroeconomics (4),none.
COGS 3, Introduction to Computing (4),none.
COGS 8, Hands-on Computing (4),none.
COGS 9, Introduction to Data Science (4),none.
COGS 10, Cognitive Consequences of Technology (4),none.
COGS 11, Minds and Brains (4),none.
COGS 12," Language, Culture, and Cognition (4)",none.
COGS 13, Field Methods: Studying Cognition in the Wild (4),none.
COGS 14A, Introduction to Research Methods (4),COGS 14A.
COGS 14B, Introduction to Statistical Analysis (4),none.
COGS 15, What the *#!?: An Uncensored Introduction to Language (4),none.
COGS 17, Neurobiology of Cognition (4),none.
COGS 18, Introduction to Python (4),none.
COGS 20, Exploring the Musical Mind (4),none.
COGS 87, First-year Student Seminar (1),none.
COGS 90, Undergraduate Seminar (1),none.
COGS 91, SCANS Presents (1),"lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Special Studies form."
COGS 92, Resiliency in the Face of Adversity (2),COGS 1 or COGS 10.
COGS 99, Independent Study (2 or 4),COGS 1. 
COGS 100, Cyborgs Now and in the Future (4),COGS 1. Recommended: COGS 101A. 
COGS 101A, Sensation and Perception (4),COGS 1 and 14A. 
COGS 101B," Learning, Memory, and Attention (4)",COGS 1 and COGS 10. 
COGS 101C, Language (4),COGS 102A.
COGS 102A, Cognitive Perspectives (4),COGS 102B. 
COGS 102B, Cognitive Ethnography (4),COGS 1 or COGS 17. 
COGS 102C, Cognitive Design Studio (6),COGS 107A. 
COGS 107A, Neuroanatomy and Physiology (4),COGS 107B and its prerequisites. 
COGS 107B, Systems Neuroscience (4),CSE 11 or CSE 8A or COGS 18 or DSC 10 or MAE 8.
COGS 107C, Cognitive Neuroscience (4),"COGS 14B, MATH 18 or MATH 31AH, and COGS 18 or CSE 7 or CSE 8A or CSE 11. "
COGS 108, Data Science in Practice (4),COGS 1 or HDP 1 or HDS 1.
COGS 109, Modeling and Data Analysis (4),BILD 10 or BILD 12 or COGS 107A or COGS 107B or COGS 17 or HDP 110. 
COGS 110, The Developing Mind (4),COGS 18 or CSE 8B or CSE 11 and MATH 18 or MATH 31AH and MATH 20E and MATH 180A and COGS 108 or COGS 109 or COGS 118B or CSE 150 or CSE 151 or CSE 158 or ECE 174 or ECE 175A or consent of instructor. 
COGS 115, Neurological Development and Cognitive Change (4),CSE 8B or CSE 11 and MATH 18 or MATH 31AH and MATH 20E and MATH 180A or consent of instructor. 
COGS 118A, Supervised Machine Learning Algorithms (4),"MATH 18 or MATH 31AH, COGS 14B or PSYC 60, and COGS 108 or COGS 109. "
COGS 118B, Introduction to Machine Learning II (4),MATH 18 or MATH 31AH and MATH 180A or consent of instructor.
COGS 118C, Neural Signal Processing (4),COGS 14B and MATH 18 or MATH 31AH and MAE 8.
COGS 118D, Mathematical Statistics for Behavioral Data Analysis (4),CSE 11 or CSE 8B or DSC 30 and COGS 1 or COGS 187A or DSGN 1.
COGS 119, Programming for Experimental Research (4),COGS 120 and CSE 8B or CSE 11 or DSC 30.
COGS 120, Interaction Design (5),DSGN 100 or COGS 187B or COGS 187A or COGS 120 or CSE 170.
COGS 121, Human Computer Interaction Programming Studio (4),COGS 102C or COGS 120 or COGS 187A or COGS 187B or DSGN 1. 
COGS 122, Start-up Studio (4),COGS 120 and COGS 121.
COGS 123, Social Computing (4),CSE 11 or 8B and COGS 120 or CSE 170.
COGS 124, HCI Technical Systems Research (4),COGS 120 or COGS 121 or CSE 170.
COGS 125, Advanced Interaction Design (4),CSE 11 or CSE 8B or DSC 30 and COGS 1 or COGS 187A or DSGN 1.
COGS 126, Human-Computer Interaction (4),upper-division standing. 
COGS 127, Designing Human-Data Interactions (4),COGS 14A-B.
COGS 143, Animal Cognition (4),upper-division standing.
COGS 144, Social Cognition: A Developmental and Evolutionary Perspective (4),COGS 1 or PHIL 1 or PSYC 1 or EDS (20 or 30 or 31); upper-division standing. 
COGS 151, Analogy and Conceptual Systems (4),upper-division standing.
COGS 152, Cognitive Foundations of Mathematics (4),upper-division standing. 
COGS 153, Language Comprehension (4),upper-division standing.
COGS 154, Communication Disorders in Children and Adults (4),upper-division standing and background in development psychology and/or linguistics is recommended.
COGS 155, Gesture and Cognition (4),COGS 101A or COGS 101B or COGS 101C.
COGS 156, Language Development (4),department approval. 
COGS 157, Music and the Mind (4),upper-division standing.
COGS 160, Upper-Division Seminar on Special Topics (4),upper-division standing.
COGS 163, Metabolic Disorders of the Brain (4),COGS 1 and 107A or permission of instructor.
COGS 164, Neurobiology of Motivation (4),COGS 17 or BILD 12.
COGS 169, Genetic Information for Behavior: From Single Cells to Mammals (4),upper-division standing.
COGS 170, Brain Waves Across Scales (4),COGS 107A. 
COGS 171, Mirror Neuron System (4),upper-division standing.
COGS 172, Brain Disorders and Cognition (4),COGS 101A or COGS 107A. 
COGS 174," Drugs: Brain, Mind, and Culture (4)",COGS 107A.
COGS 175, The Neuropsychological Basis of Alternate States of Consciousness (4),upper-division standing.
COGS 176, From Sleep to Attention (4),COGS 107A-B or consent of instructor.
COGS 177, Space and Time in the Brain (4),COGS 107A or COGS 17.
COGS 178," Genes, Brains, and Behavior (4)",BILD 12 or COGS 107B or PSYC 106 and MATH 31AH or MATH 18 and MATH 20B and COGS 108 or COGS 109 or COGS 18 or CSE 8A or CSE 11. 
COGS 179, Electrophysiology of Cognition (4),COGS 18 or CSE 11 or CSE 8B and MATH 18 or MATH 31AH and MATH 20E and MATH 180A and COGS 118A or COGS 118B or CSE 150 or CSE 151 or CSE 158 or ECE 174 or ECE 175A. 
COGS 180, Decision Making in the Brain (4),COGS 17 or COGS 107A or COGS 107B or COGS 107C or BILD 12.
COGS 181, Neural Networks and Deep Learning (4),COGS 118B or COGS 118A.
COGS 184, Modeling the Evolution of Cognition (4),COGS 18 or CSE 11 or CSE 8A and COGS 10 or DSGN 1. 
COGS 185, Advanced Machine Learning Methods (4),COGS 187A or consent of instructor. 
COGS 187A, Usability and Information Architecture (4),COGS 109 or COGS 118A or COGS 118B. 
COGS 187B, Practicum in Professional Web Design (4),COGS 108 or COGS 109 or COGS 118A or COGS 118B.
COGS 188, Artificial Intelligence Algorithms (4) ,upper-division standing; instructor and department approval. 
COGS 189, Brain Computer Interfaces (4),COGS 190A and formal admittance to the Cognitive Science Honors Program; department stamp. 
COGS 190A, Pre-Honors Project in Cognitive Science (4),COGS 190B with grade of A– or better and formal admittance to the Cognitive Science Honors Program.
COGS 190B, Honors Studies in Cognitive Science (4),must be concurrently enrolled in 190B or 190C. 
