Code,Name (Units),Prerequisites
CSE 3, Fluency in Information Technology (4),none. 
CSE 4GS, Mathematical Beauty in Rome (4),"MATH 10A or MATH 20A; departmental approval, and corequisite of CSE 6GS."
CSE 6GS, Mathematical Beauty in Rome Lab (4),"MATH 10A or MATH 20A; departmental approval, and corequisite of CSE 4GS."
CSE 5A, Introduction to Programming I (4),restricted to undergraduates. Graduate students will be allowed as space permits. 
CSE 8A, Introduction to Computer Science: Java I (4),restricted to undergraduates. Graduate students will be allowed as space permits.
CSE 8B, Introduction to Computer Science: Java II (4),CSE 8A; restricted to undergraduates. Graduate students will be allowed as space permits. 
CSE 11, Introduction to Computer Science and Object-Oriented Programming: Java (4),restricted to undergraduates. Graduate students will be allowed as space permits. 
CSE 12, Basic Data Structures and Object-Oriented Design (4),"CSE 8B or CSE 11, and concurrent enrollment with CSE 15L; restricted to undergraduates. Graduate students will be allowed as space permits. "
CSE 15L, Software Tools and Techniques Laboratory (2),"CSE 8B or CSE 11, and concurrent enrollment with CSE 12; restricted to undergraduates. Graduate students will be allowed as space permits. "
CSE 20, Discrete Mathematics (4),COGS 7 or CSE 8B or CSE 11. Prerequisite courses must have been completed with a grade of C– or better; restricted to undergraduates. Graduate students will be allowed as space permits.
CSE 21, Mathematics for Algorithms and Systems (4),CSE 20 or MATH 15A; restricted to undergraduates. Graduate students will be allowed as space permits. 
CSE 30, Computer Organization and Systems Programming (4),CSE 12 and CSE 15L; restricted to undergraduates. Graduate students will be allowed as space permits.
CSE 42, Building and Programming Electronic Devices (2) ,restricted to first-year and sophomore students; instructor approval required. 
CSE 80, UNIX Lab (2),CSE 8B or CSE 11. 
CSE 86, C++ for Java Programmers (2),CSE 12 or consent of instructor. 
CSE 87, First-year Student Seminar (1),none. 
CSE 90, Undergraduate Seminar (1),none.
CSE 91, Perspectives in Computer Science and Engineering (2),majors only. 
CSE 99, Independent Study in Computer Science and Engineering (4),lower-division standing. Completion of thirty units at UC San Diego with a UC San Diego GPA of 3.0. Special Studies form required. Department stamp required. Consent of instructor and approval of the department. 
CSE 100, Advanced Data Structures (4),CSE 12 and CSE 15L and CSE 21 or MATH 154 or MATH 184A and CSE 5A or CSE 30 or ECE 15 or MAE 9; restricted to undergraduates. Graduate students will be allowed as space permits.
CSE 101, Design and Analysis of Algorithms (4),CSE 100 or MATH 176; restricted to undergraduates. Graduate students will be allowed as space permits. 
CSE 103, A Practical Introduction to Probability and Statistics (4),"MATH 20A-B and MATH 184A or CSE 21 or MATH 154; restricted to CS25, CS26, CS27, and CS28 majors. Other students will be allowed as space permits. "
CSE 105, Theory of Computability (4),"CSE 12 and CSE 15L and MATH 15A or MATH 109 or CSE 20 and MATH 184 or CSE 21 or MATH 100A or MATH 103A; restricted to students with sophomore, junior, or senior standing. Graduate students will be allowed as space permits. "
CSE 106, Discrete and Continuous Optimization (4),MATH 18 or MATH 31AH and MATH 20C or MATH 31BH and CSE 21 or DSC 40B or MATH 154 or MATH 184A.
