Code,Name,Prerequisites
MATH 2, Introduction to College Mathematics (4),Math Placement Exam qualifying score.
MATH 3C, Precalculus (4),Math Placement Exam qualifying score.
MATH 4C, Precalculus for Science and Engineering (4),Math Placement Exam qualifying score or MATH 3C with a grade of C– or better. 
MATH 10A, Calculus I (4),"Math Placement Exam qualifying score, or AP Calculus AB score of 2, or SAT II Math Level 2 score of 600 or higher, or MATH 3C, or MATH 4C. "
MATH 10B, Calculus II (4),"AP Calculus AB score of 3, 4, or 5 (or equivalent AB subscore on BC exam), or MATH 10A, or MATH 20A. "
MATH 10C, Calculus III (4),"AP Calculus BC score of 3, 4, or 5, or MATH 10B, or MATH 20B. "
MATH 11, Calculus-Based Introductory Probability and Statistics (5),"AP Calculus BC score of 3, 4, or 5, or MATH 10B or MATH 20B."
MATH 15A, Introduction to Discrete Mathematics (4),CSE 8B or CSE 11. Prerequisite courses must be completed with a grade of C– or better.
MATH 18, Linear Algebra (4),"Math Placement Exam qualifying score, or AP Calculus AB score of 2, or SAT II Math Level 2 score of 600 or higher, or MATH 3C, or MATH 4C, or MATH 10A, or MATH 20A. Students who have not completed listed prerequisites may enroll with consent of instructor."
MATH 20A, Calculus for Science and Engineering (4),"Math Placement Exam qualifying score, or AP Calculus AB score of 3 (or equivalent AB subscore on BC exam), or SAT II MATH 2C score of 650 or higher, or MATH 4C or MATH 10A. "
MATH 20B, Calculus for Science and Engineering (4),"AP Calculus AB score of 4 or 5, or AP Calculus BC score of 3, or MATH 20A with a grade of C– or better, or MATH 10B with a grade of C– or better, or MATH 10C with a grade of C– or better. "
MATH 20C, Calculus and Analytic Geometry for Science and Engineering (4),"AP Calculus BC score of 4 or 5, or MATH 20B with a grade of C– or better. "
MATH 20D, Introduction to Differential Equations (4),MATH 20C (or MATH 21C) or MATH 31BH with a grade of C– or better. 
MATH 20E, Vector Calculus (4),MATH 18 or MATH 20F or MATH 31AH and MATH 20C (or MATH 21C) or MATH 31BH with a grade of C– or better. 
MATH 31AH, Honors Linear Algebra (4),AP Calculus BC score of 5 or consent of instructor. 
MATH 31BH, Honors Multivariable Calculus (4),"MATH 31AH with a grade of B– or better, or consent of instructor. "
