Code,Name,Prerequisites
PHYS 1A, Mechanics (3),"PHYS 1A or 2A, and MATH 10B or 20B. "
PHYS 1AL, Mechanics Laboratory (2),MATH 10A-B or 20A or 20B or 20C or 31BH. Recommended preparation: prior or concurrent enrollment in MATH 20B.
PHYS 1B, Electricity and Magnetism (3),PHYS 2A or 4A. Recommended preparation: prior or concurrent enrollment in PHYS 2B or 4C.
PHYS 1BL, Electricity and Magnetism Laboratory (2),"PHYS 2A or 4A, and 2B or 4C. Recommended preparation: prior or concurrent enrollment in PHYS 2C or 4D."
PHYS 1C," Waves, Optics, and Modern Physics (3)","PHYS 2A or 4A, 2B, and MATH 20D. Recommended preparation: prior or concurrent enrollment in MATH 20E."
PHYS 1CL," Waves, Optics, and Modern Physics Laboratory (2)",PHYS 2BL or 2CL. Recommended preparation: prior or concurrent enrollment in PHYS 2D or 4E.
PHYS 2A, Physics—Mechanics (4),MATH 20A. Recommended preparation: prior or concurrent enrollment in MATH 20B and a knowledge of vectors.
PHYS 2B, Physics—Electricity and Magnetism (4),"PHYS 2A or 4A, and MATH 20B. Recommended preparation: prior or concurrent enrollment in MATH 20C or 31BH."
PHYS 2BL, Physics Laboratory—Mechanics (2),"PHYS 2A or 4A, 2C or 4B, MATH 20C or 31BH, and 18 or 20F or 31AH. Recommended preparation: prior or concurrent enrollment in MATH 20E or 31CH."
PHYS 2C," Physics—Fluids, Waves, Thermodynamics, and Optics (4)","PHYS 2A-B-C or 4A-B-C, MATH 20A, 20B, 20C or 31BH, 20E or 31CH, and 18 or 20F or 31AH. Recommended preparation: prior or concurrent enrollment in MATH 20D."
PHYS 2CL, Physics Laboratory—Electricity and Magnetism (2),none.
PHYS 2D, Physics—Relativity and Quantum Physics (4),none.
PHYS 2DL, Physics Laboratory—Modern Physics (2),none.
PHYS 4A, Physics for Physics Majors—Mechanics (4),none.
PHYS 4B," Physics for Physics Majors—Fluids, Waves, Statistical and Thermal Physics (4)",MATH 10A or 20A. Corequisites: MATH 10B or 20B.
PHYS 4C, Physics for Physics Majors—Electricity and Magnetism (4),none.
